mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
招生資訊_content_111學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項_647.md,111學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/111-3,5,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_111學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_648.md,111學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/111-3,6,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_112學年度大學身心障礙甄試統一分發已錄取者請注意_759.md,112學年度大學身心障礙甄試統一分發已錄取者請注意,https://www.yzu.edu.tw/admissions/index.php/tw/112xue-nian-du-da-xue-shen-xin-zhang-ai-zhen-shi-tong-yi-fen-fa-yi-lu-qu-zhe-qing-zhu-yi,2,超連結（檔案）,files/Undergraduate_Program/112身心障礙/元智大學112學年度身心障礙學生甄試錄取新生通訊報到表.doc,files/Undergraduate_Program/112身心障礙/元智大學112學年度身心障礙學生甄試錄取新生通訊報到表.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\Undergraduate_Program\112身心障礙\元智大學112學年度身心障礙學生甄試錄取新生通訊報到表.doc,admissions/files/Undergraduate_Program/112身心障礙/元智大學112學年度身心障礙學生甄試錄取新生通訊報到表.doc,40960,
招生資訊_content_112學年度中等以上學校運動成績優良學生升學輔導甄審甄試-已_762.md,112學年度中等以上學校運動成績優良學生升學輔導甄審甄試-已錄取者請注意,https://www.yzu.edu.tw/admissions/index.php/tw/112xue-nian-du-zhong-deng-yi-shang-xue-xiao-yun-dong-cheng-ji-you-liang-xue-sheng-sheng-xue-fu-dao-zhen-shen-zhen-shi-yi-lu-qu-zhe-qing-zhu-yi,3,超連結（檔案）,files/運動績優/112中等以上學校運動績優/元智大學112學年度運動績優甄審甄試錄取新生通訊報到表.doc,files/運動績優/112中等以上學校運動績優/元智大學112學年度運動績優甄審甄試錄取新生通訊報到表.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\運動績優\112中等以上學校運動績優\元智大學112學年度運動績優甄審甄試錄取新生通訊報到表.doc,admissions/files/運動績優/112中等以上學校運動績優/元智大學112學年度運動績優甄審甄試錄取新生通訊報到表.doc,40960,
招生資訊_content_112學年度博士班入學下載項目_416.md,112學年度博士班入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/112-3,14,超連結（檔案）,files/AA/aplexam/docs/0018.doc,files/AA/aplexam/docs/0018.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0018.doc,admissions/files/AA/aplexam/docs/0018.doc,32256,
招生資訊_content_112學年度博士班入學下載項目_416.md,112學年度博士班入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/112-3,15,超連結（檔案）,files/AA/aplexam/docs/0016.doc,files/AA/aplexam/docs/0016.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0016.doc,admissions/files/AA/aplexam/docs/0016.doc,42496,
招生資訊_content_112學年度博士班入學下載項目_416.md,112學年度博士班入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/112-3,16,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_112學年度碩士在職專班招生入學下載項目_413.md,112學年度碩士在職專班招生入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/112-2,18,超連結（檔案）,files/AA/aplexam/docs/0018.doc,files/AA/aplexam/docs/0018.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0018.doc,admissions/files/AA/aplexam/docs/0018.doc,32256,
招生資訊_content_112學年度碩士在職專班招生入學下載項目_413.md,112學年度碩士在職專班招生入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/112-2,19,超連結（檔案）,files/AA/aplexam/docs/0016.doc,files/AA/aplexam/docs/0016.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0016.doc,admissions/files/AA/aplexam/docs/0016.doc,42496,
招生資訊_content_112學年度碩士在職專班招生入學下載項目_413.md,112學年度碩士在職專班招生入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/112-2,20,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_112學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項_740.md,112學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/112xue-nian-du-shuo-shi-zai-zhi-zhuan-ban-bang-dan-kai-fang-cha-xun-ji-zheng-bei-qu-sheng-bao-dao-zhu-yi-shi-xiang,7,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_112學年度碩士班考試入學下載項目_414.md,112學年度碩士班考試入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/111,18,超連結（檔案）,files/AA/aplexam/docs/0018.doc,files/AA/aplexam/docs/0018.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0018.doc,admissions/files/AA/aplexam/docs/0018.doc,32256,
招生資訊_content_112學年度碩士班考試入學下載項目_414.md,112學年度碩士班考試入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/111,19,超連結（檔案）,files/AA/aplexam/docs/0016.doc,files/AA/aplexam/docs/0016.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0016.doc,admissions/files/AA/aplexam/docs/0016.doc,42496,
招生資訊_content_112學年度碩士班考試入學下載項目_414.md,112學年度碩士班考試入學下載項目,https://www.yzu.edu.tw/admissions/index.php/tw/111,20,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_112學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_741.md,112學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/112xue-nian-du-shuo-shi-ban-bang-dan-kai-fang-cha-xun-bei-qu-sheng-jiu-du-yi-yuan-deng-ji-ji-zheng-bei-qu-sheng-bao-dao-zhu-yi-shi-xiang,9,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
招生資訊_content_113學年度大學身心障礙甄試統一分發錄取暨通訊報到注意事項_858.md,113學年度大學身心障礙甄試統一分發錄取暨通訊報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/113xue-nian-du-da-xue-shen-xin-zhang-ai-zhen-shi-tong-yi-fen-fa-lu-qu-gong-gao-ji-tong-xun-bao-dao-zhu-yi-shi-xiang,2,超連結（檔案）,files/Undergraduate_Program/113/元智大學113學年度身心障礙學生甄試錄取新生通訊報到表.doc,files/Undergraduate_Program/113/元智大學113學年度身心障礙學生甄試錄取新生通訊報到表.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\Undergraduate_Program\113\元智大學113學年度身心障礙學生甄試錄取新生通訊報到表.doc,admissions/files/Undergraduate_Program/113/元智大學113學年度身心障礙學生甄試錄取新生通訊報到表.doc,40448,
